,unique_colors,entropy
0,19,2.1342512663049114
1,17,2.004676134846803
2,18,1.8785104915494004
3,18,1.8785104915494004
4,19,1.8126989317913007
5,18,2.0299752500948856
6,19,1.6276228338473346
7,19,2.047890301670074
8,18,1.7744681728371827
9,18,1.7053168616213779
10,17,1.7741161349955339
11,17,1.6507173779760695
12,21,1.8714998632841224
13,19,1.8745695670437992
14,16,1.6533839123570089
15,17,2.0346027591608675
16,18,1.7243440668491796
17,23,2.318381477810304
18,20,1.9115444276348068
19,20,2.254421587534543
20,26,2.335986989287598
21,21,1.9895920157278075
22,21,2.280230335921223
23,19,1.6472694029017059
24,20,1.8946525047352574
25,20,1.8946525047352574
26,17,1.5515849153973347
27,17,1.541442026701234
28,19,1.9602402562488745
29,20,1.9235178175627883
30,18,1.8849350207670212
31,18,1.8849350207670212
32,23,2.268649836568645
33,18,2.043524067272197
34,18,1.973542280645856
35,21,2.3098504169101806
36,18,1.7343116299376244
37,19,1.8983124655434265
38,19,1.719587265541229
39,20,1.688330446964095
40,16,1.6396815301375227
41,21,2.090535517271476
42,20,2.3259871263565777
43,19,2.1373150561517633
44,18,2.3726780683269
45,18,2.0256276045342063
46,22,2.448281223020073
47,22,2.483517055676422
48,23,2.6245714279336627
49,23,2.5642231496473515
50,20,2.2744271661695636
51,20,2.3341113083304292
52,21,2.3039992170934975
53,23,2.5522836878472854
54,20,2.388553675399372
55,22,2.267712033954145
56,22,2.5139947965752047
57,23,2.535766959902914
58,21,2.254456769226171
59,23,2.5353069775557153
60,28,2.8903202248896673
61,21,2.3595747383810517
62,23,2.537495010492465
63,22,2.294425729815919
64,24,2.4651713782090257
65,23,2.6601054959644865
66,17,1.67921855045857
67,17,1.67921855045857
68,24,2.5016644559372594
69,24,2.5016644559372594
70,23,2.5067832920614297
71,20,2.285343603839591
72,21,2.4780634686899634
73,21,2.439423992722897
74,20,2.3271221661641968
75,23,2.4646190193915123
76,20,2.27114367257861
77,20,2.3421834669420143
78,20,2.2978168684616858
79,23,2.5510373864673914
80,20,2.3410912731527773
81,22,2.5559865570388243
82,25,2.6509324352616646
83,22,2.405997505473024
84,21,2.4514142204760647
85,21,2.475502781635847
86,21,2.6011052533808936
87,21,2.421772186138917
88,23,2.515299771886615
89,17,1.6445070454652027
90,19,2.3281338973077643
91,24,2.58702287327137
92,21,2.34759828641921
93,23,2.551397975534591
94,21,2.406626113710805
95,24,2.511945389593785
96,20,2.4261285024592567
97,20,2.2310380659874016
98,20,2.2310380659874016
99,23,2.510440435005325
100,23,2.5661190360589763
101,18,2.36775589861479
102,24,2.6301302903156403
103,22,2.611656554167595
104,23,2.550135735915841
105,19,2.138264641816228
106,19,1.7469143059468053
107,18,1.7502670524053319
108,21,2.5398801419516803
109,19,2.3288652007866415
110,21,2.289106546262059
111,19,2.3739741117848827
112,22,2.5132699576487547
113,22,2.5299801675388167
114,19,1.8835720739517225
115,22,2.6181292045977114
116,20,2.3990504943232653
117,21,2.429946805580548
118,20,2.4085878213783385
119,20,2.452640207684987
120,20,2.4861310172350173
121,23,2.5377611500985195
122,20,2.2539786154561527
123,19,2.409324800402896
124,19,2.4443567037970384
125,20,2.4342198034913247
126,20,2.4006626507726665
127,20,2.4303807333860603
128,25,2.625012914595201
129,21,2.4166114234975695
130,21,2.355958318862279
131,27,2.729297022803951
132,27,2.7241888263145655
133,27,2.7241888263145655
134,26,2.6882544386931038
135,26,2.6882544386931038
136,27,2.6352647553650628
137,26,2.696319442136246
138,26,2.689732139597415
139,29,2.850079339478596
140,28,2.751590292586761
141,28,2.751590292586761
142,21,2.4176773982726236
143,27,2.752424489571354
144,21,1.9348584464977063
145,21,2.411290641025957
146,30,2.896318307722831
147,24,2.556190497919304
148,22,2.4182498587770245
149,23,1.967819033918084
150,29,2.7822511232606053
151,19,2.135603055022075
152,18,1.7881228658541388
153,20,1.89403347909188
154,19,2.1464454644142394
155,22,2.1937090601955465
156,21,1.8360602073994772
157,28,2.8719050151078798
158,28,2.783603984047891
159,20,1.7478204265760364
160,21,2.0843692848743474
161,20,1.9993692914039551
162,22,2.4644618028574277
163,17,1.8070733191880133
164,19,1.9813805280056243
165,21,2.040537693233486
166,26,2.801717845508593
167,21,2.373752588248944
168,20,2.4334991936428367
169,22,1.9353868328388695
170,21,2.3367942447805006
171,20,1.849732191053619
172,18,1.816961644021648
173,20,2.2278480928510853
174,18,2.2448900164410377
175,21,2.2698402626263965
176,27,2.7165305718765436
177,21,2.197673802100087
178,18,2.2638290301892807
179,21,2.273246263041031
180,19,2.184354702164247
181,21,2.2658582300866703
182,22,2.0545812166549906
183,21,2.040132439357528
184,20,2.1658189957099148
185,20,2.0705629953203433
186,20,2.0406737130480437
187,20,2.000168978149827
188,20,1.9644686712126616
189,19,2.0156583133810724
190,21,2.1524028030234525
191,19,2.262735102314266
192,19,2.3539145361593454
193,20,2.403897464795316
194,21,2.3252784932553947
195,21,2.445222128011671
196,19,2.3381590542244135
197,20,2.4086107233769476
198,21,2.221278429209337
199,19,1.9867666153947743
200,21,2.160877963808882
201,22,2.3643886361746547
202,20,2.4582988053006463
203,23,2.4879224383595715
204,23,2.459529912755307
205,20,1.9669756060437273
206,20,1.8919290443599304
207,17,1.7904886106381062
208,19,1.7723833310284134
209,20,2.0072151661071853
210,19,1.7009331229752758
211,19,2.24385657786747
212,18,1.9495689812116108
213,18,1.7988814654541343
214,21,1.9439663682751995
215,19,1.8831649972078686
216,20,2.0328278383448133
217,21,2.0990225924523376
218,22,2.090327301329979
219,23,2.398686013708305
220,20,2.3047245614684315
221,19,2.215473487696252
222,20,2.1268477179595253
223,19,2.1265840448992788
224,18,2.095785637978891
225,18,1.9040778517990484
226,17,1.9770068296924368
227,19,1.953086102588983
228,21,2.046198356531901
229,16,1.9314920865124026
230,18,1.7523518942131011
231,17,1.7195128396756099
232,18,1.782473105403742
233,16,1.7375093221156728
234,17,1.806453142305595
235,18,1.9167824677689353
236,19,1.9095110867041836
237,19,1.9061583402466569
238,19,1.9407318121958947
239,19,2.1250956320606194
240,20,1.8634993966970859
241,19,1.7735752136927365
242,19,1.8676166514840151
243,18,1.779224974144133
244,19,1.9328387899756792
245,18,1.8600344498430312
246,20,1.7974259097265648
247,20,1.978563795231723
248,18,1.7366086439304944
249,21,1.780140858276053
250,21,1.8975981744479302
251,19,1.769923543714333
252,19,1.7472524048756712
253,22,1.6858794125882883
254,22,2.0362843602890512
255,22,1.906804916962042
256,22,1.7747547708859028
257,23,1.9559397582011806
258,18,1.556889386469613
259,23,2.1578338096255876
260,20,1.9023458665560997
261,18,1.6322069395784446
262,20,1.5719518497918743
263,25,2.4574334224164436
264,23,2.2029133848967364
265,22,1.9826673554481882
266,21,2.210921644168855
267,21,2.324677755899788
268,20,2.437125252459976
269,21,2.3314566400479544
270,20,2.3769635515027803
271,22,2.1890800885631836
272,22,2.218662543015813
273,20,1.9282919095059243
274,23,2.050680581927587
275,19,2.1357655186173146
276,21,2.199397568555
277,19,2.226035809198437
278,21,2.1107758520443904
279,20,1.8513999189642896
280,18,2.0175439464846106
281,20,2.169327110552185
282,26,2.373003267640702
283,23,2.1933997822828353
284,21,2.2054187770632807
285,18,1.7854602388403158
286,18,1.8680360676701082
287,22,2.399355288733066
288,21,2.1753097303911457
289,21,2.275711810848468
290,22,2.294426039795348
291,17,1.572455328501661
292,21,1.602543289200386
293,20,1.6747717689139374
294,19,1.7274331402444594
295,19,2.0166967552095434
296,19,2.2846623555280043
297,18,1.7790184189865093
298,22,2.495767110023117
299,19,1.7746803450212836
300,20,1.7649545702212819
301,19,1.6781188442472648
302,21,1.805271784428795
303,26,2.728483156198899
304,17,1.7696400133782049
305,19,1.7760350010068169
306,20,1.7406038379550057
307,23,2.06421317268374
308,27,2.7499919559424226
309,20,2.4411926203746037
310,20,2.1933758303678537
311,20,2.2021406258628353
312,17,1.772857562831135
313,20,1.998941243421863
314,19,1.7485820338574756
315,17,1.8814342270534732
316,19,1.8357081695588287
317,20,2.118668131299924
318,19,1.727169467183213
319,20,1.8496472577222873
320,23,2.603710693686736
321,17,2.0995243187594066
322,20,2.197529965801186
323,21,2.2107522885942
324,21,2.2193729320646547
325,19,1.7692942576321335
326,19,1.8424306691022563
327,19,2.2828148389393554
328,22,2.0136396953228064
329,18,1.9619443663671756
330,20,1.8354444964965821
331,18,1.8225105047320087
332,20,1.8013412527662147
333,17,1.8457056472518696
334,18,1.788738576758034
335,19,2.077560553799575
336,18,1.7993384936432701
337,18,1.945605840907705
338,21,1.9880062953213526
339,18,2.1065287699567516
340,20,1.8334111555649588
341,20,1.9712761040874212
342,23,2.1659247685518657
343,20,2.108314766529297
344,20,2.04440153539799
345,19,1.725704147952955
346,19,1.9060539655967572
347,19,2.2739880017491467
348,20,2.304098716501078
349,20,2.464601728758326
350,20,2.115251353384912
351,25,2.7659028340907965
352,21,2.2917188298375364
353,19,2.2382163933908217
354,21,2.261304030433457
355,21,2.5731982480384614
356,29,2.7109523822888377
357,28,2.8834692492895893
358,19,2.1971950895873698
359,21,2.450109955107434
360,23,2.3431284484104675
361,19,1.6433145832537954
362,19,1.8597810372196064
363,20,2.454903254926287
364,23,2.2754727324386077
365,20,2.2078836937967465
366,25,2.2060298105732783
367,29,2.955366945871195
368,22,2.1814878771827058
369,18,1.89864822168458
370,20,2.2893783255151705
371,22,2.6078769651758904
372,29,2.882364992128293
373,22,2.2799287543567544
374,20,2.2967642127832426
375,21,2.3011084460316757
376,18,1.9323738788153249
377,18,1.814664630028778
378,20,2.1981496125850195
379,21,2.001401030734944
380,28,2.7656853599389697
381,26,2.7400214798668987
382,23,2.4335883595298142
383,20,2.0310853495056165
384,19,2.410367934985013
385,22,2.5581002019941983
386,19,2.3713318253442397
387,23,2.4835373193731685
388,19,1.9530861025889827
389,20,2.3819814155056354
390,26,2.6468127005076023
391,22,2.4963169453692102
392,23,2.1872831203171272
393,20,2.4935500831815385
394,18,2.305144992469992
395,21,2.2781797043534135
396,20,2.112414540717464
397,19,2.3283920135828855
398,18,2.2013601193453054
399,24,2.4749569488798517
400,28,2.7794462116587386
401,25,2.584230112139925
402,18,2.231811875596074
403,18,1.9448559901191285
404,22,2.0345223197611366
405,18,2.2885952275667076
406,22,2.3778365607473764
407,20,2.2755408933026073
408,21,2.1832499225809685
409,21,2.3281157894422826
410,19,2.0942026110876393
411,24,2.7379262653561014
412,23,2.3531137851944455
413,21,2.506185090107986
414,19,2.340045872251342
415,19,1.6049219195111273
416,20,2.2430515939738798
417,19,2.409673026178859
418,19,2.1957910347379457
419,19,2.087116888036762
420,19,2.1030305408132
421,21,2.213989312277786
422,19,2.1564607614817577
423,20,2.0953658660372008
424,21,2.1396622215014673
425,22,2.4607628992888424
426,19,2.328709787151015
427,25,2.542601685084476
428,26,2.6530309136786947
429,21,1.824878876874906
430,18,1.8415286007600289
431,21,2.4375377745899978
432,20,2.469448607041054
433,20,2.3494608889245483
434,19,2.3895614859130854
435,24,2.33904046047898
436,22,2.3287793814086575
437,22,2.4812918536127255
438,26,2.5464263378873087
439,22,2.4212262278444348
440,17,1.899177169407708
441,19,2.0053012551070784
442,19,1.995327953043883
443,19,2.215873972430404
444,21,2.167906495559275
445,20,2.139592840759166
446,26,2.5817347004022224
447,19,2.0191824322385052
448,23,2.619969070764684
449,24,2.5269768612700836
450,19,1.8972131917903743
451,18,2.270865158701195
452,18,2.354515337443714
453,20,2.422608828488315
454,22,2.474962898962402
455,28,2.790507193930777
456,25,2.656545431862416
457,26,2.6213827015848565
458,26,2.7497052288890247
459,20,2.3895175353861906
460,21,2.2369701195345004
461,21,2.459858358566695
462,20,2.017903931116259
463,24,2.597990460575469
464,21,2.14517749099548
465,19,2.1409577994396347
466,21,2.4209287362083627
467,21,2.4633387117064354
468,20,2.368950431922306
469,19,2.229937822258721
470,23,2.544610013322079
471,20,2.0722907069386736
472,21,2.2510607348851517
473,21,2.2636634108953326
474,19,2.194233607819672
475,18,2.13536527167671
476,20,2.1825590726445654
477,24,2.342011343499038
478,20,2.2471776774505328
479,20,2.197192782030819
480,27,2.6301900834544742
481,18,2.0509534853524727
482,22,2.4168113057381113
483,22,2.5016499159601655
484,24,2.4850163842467476
485,20,2.3140930437715594
486,21,2.365425272844203
487,18,2.2028192151657104
488,19,2.18492878910804
489,23,2.599221840018786
490,21,2.251332514137263
491,19,2.194998975334536
492,20,2.253456723983129
493,22,2.2725993239473943
494,19,2.368494330536382
495,18,2.3266493775060075
496,19,2.130463350057986
497,22,2.2246667187914646
498,21,2.2028522549722327
499,22,2.313641908059241
500,23,2.3914937422924694
501,23,2.501822774035875
502,24,2.6098419291988746
503,21,2.33097283665078
504,20,2.3149817055971975
505,19,2.3850091969446416
506,21,2.4945075652895903
507,18,2.347462501020701
508,19,2.31422458984141
509,19,2.1488523462865685
510,20,2.1729446088265556
511,21,2.2495371945980103
512,21,2.554867595250786
513,22,2.444744478185922
514,19,2.3811169564434125
515,20,2.514113988549442
516,20,2.192609732612749
517,23,2.5454974873593637
518,21,2.4317798884949484
519,21,2.2811232950646687
520,22,2.448120156900129
521,19,2.225991226253449
522,23,2.5664115492377477
523,18,2.3253583067571433
524,17,1.8224841048970417
525,20,1.8209977440762162
526,21,2.4318103155751145
527,21,2.4423431200444092
528,21,2.3291754080963476
529,27,2.6864608690673917
530,23,2.543504212806272
531,18,2.4277289632054364
532,18,2.347298748822683
533,21,2.4497628721157794
534,21,2.0648164060134313
535,21,2.36848839071635
536,25,2.7429692455701877
537,21,2.2321960866726616
538,23,2.625061033311458
539,24,2.3047219905788694
540,22,2.155781879856765
541,17,2.1588477685824174
542,18,2.425219292901295
543,21,2.3419916691335585
544,24,2.5955080720051242
545,24,2.53128369679756
546,21,2.4628179860812462
547,21,2.4158548931074075
548,22,2.5801233639011465
549,26,2.6642468254756375
550,19,1.682315073493745
551,22,2.6210450587221246
552,19,2.1455258133822475
553,19,2.360593395704847
554,19,2.4015444228100233
555,20,2.1036846947038055
556,23,2.4886438236584425
557,27,2.8631083693944404
558,23,2.438195912862154
559,23,2.3433538001554837
560,26,2.694173887063314
561,26,2.8377383194179395
562,20,2.295059341310603
563,22,2.3940453736094316
564,21,2.249178909076553
565,20,2.300788970820991
566,20,2.375985943035813
567,21,2.4696578246175647
568,19,2.066788379021275
569,29,2.8535464636955625
570,26,2.8638745390839686
571,20,2.0713824070060154
572,20,2.3966808761742855
573,19,2.384078200165105
574,18,2.118815197047455
575,20,2.1512025037661955
576,20,2.1780659443988615
577,22,2.246008228648322
578,19,2.1194271924924686
579,20,2.1974847242959212
580,19,2.2005475979988907
581,20,2.173260509484135
582,26,2.5407372097026277
583,24,2.5516790826905416
584,26,2.8016003987870413
585,22,2.527377325460865
586,20,2.4510985139468446
587,20,2.3455691473288383
588,24,2.596494882496845
589,22,2.4612880801376273
590,24,2.705856311623246
591,19,2.45662221552475
592,23,2.476819221495586
593,29,2.8622594078273575
594,24,2.56938840849172
595,27,2.8677050101095363
596,27,2.8734717508007206
597,26,2.8455247000289696
598,23,2.461285197362428
599,31,2.912831844967621
600,23,2.534016200857619
601,18,1.9338287413582778
602,25,2.5682637912394486
603,21,2.009316967741775
604,21,2.061985044920363
605,21,2.2450046572738223
606,19,2.3750196652637587
607,22,2.4994744952588515
608,22,2.2330338081407737
609,24,2.5180451893962816
610,24,2.5661705924953653
611,27,2.53017704851757
612,27,2.6986437098132647
613,28,2.702745920688759
614,25,2.5046983841395964
615,21,2.547438799495683
616,20,1.9920853201002318
617,19,2.363639354559311
618,22,2.11616193943254
619,20,2.3687837990812297
620,20,2.464514831048279
621,20,2.4189478260245534
622,24,2.5664734228179222
623,26,2.685196470222409
624,26,2.8945735526762832
625,26,2.8244250352318887
626,23,2.5511354422797363
627,19,2.4454671370893113
628,18,2.3458312404850012
629,20,2.377974701022448
630,21,2.406521354450902
631,21,2.443794162028758
632,24,2.5903157879634087
633,25,2.800310359323806
634,19,1.9480829188569713
635,19,2.316781511605941
636,21,2.196389584012009
637,24,2.6446338768929545
638,20,2.2370621102174115
639,20,2.4430788240301164
640,22,2.4425312224138387
641,20,2.455693634888262
642,20,2.2908299060154316
643,19,2.2731671512204934
644,23,2.4476544215702805
645,25,2.527108529664709
646,23,2.5273102295600602
647,28,2.7054400232083817
648,18,2.2856515372687323
649,22,2.4125734365360465
650,20,2.3457201794025915
651,20,2.4036325256714157
652,21,2.5145718097519416
653,21,2.482412665152935
654,22,2.5362658348084253
655,23,2.6167050644982655
656,22,2.590039955205848
657,21,2.1898949303964153
658,21,2.359480372032724
659,21,2.272308720952596
660,22,2.4789574608700407
661,22,2.5303558598187426
662,24,2.6407180632341722
663,22,2.5313217344356502
664,22,2.3880792147335628
665,20,2.4603940807765103
666,22,2.522625273960753
667,21,2.487226923061324
668,22,2.545370838667034
669,22,2.5139249631370992
670,21,2.4395719958078694
671,22,2.648787644208838
672,22,2.3887789734756324
673,20,2.3459808981590595
674,19,2.3948338279618895
675,19,2.392391331283995
676,19,2.3948338279618895
677,20,2.386448958119475
678,19,2.320642722440366
679,19,2.307294606538307
680,19,2.4392342894691352
681,23,2.4711840319679004
682,22,2.442580903389774
683,23,2.530435062658757
684,22,2.4705647765641094
685,24,2.5118601353024337
686,22,2.512230646867299
687,24,2.765343555701995
688,21,2.4305349076275746
689,23,2.522735217383522
690,24,2.5519660450812074
691,23,2.4558857423309615
692,24,2.5382641934677723
693,22,2.4133208982421164
694,26,2.585602529379776
695,25,2.702793490315099
696,23,2.4831396454797923
697,23,2.4000509884534025
698,23,2.464727641191383
699,26,2.798039785596053
700,23,2.5085803819057246
701,25,2.7951385978047245
702,22,2.4524505118246225
703,27,2.730902877133447
704,25,2.839816243295551
705,20,2.4275640246085173
706,22,2.4192125393034702
707,27,2.6663379229815516
708,24,2.6678297039437093
709,27,2.705711339402485
710,28,2.817904143637516
711,28,2.8070473195356955
712,30,2.9365203077356288
713,23,2.1381154447344115
714,21,2.0878196830229245
715,19,1.779437146328234
716,21,2.3644735607785936
717,22,2.612682965581007
718,18,1.7063553034498486
719,20,2.4458209059555855
720,21,2.19353827984974
721,19,2.159065707642539
722,21,2.30588567500664
723,21,2.3770884163207686
724,21,2.3820653479636476
725,21,2.3656235117334234
726,20,2.435855356146965
727,19,2.277661778282637
728,24,2.4200164042349046
729,18,2.282343333961037
730,18,2.261211051929698
731,21,1.938417507564839
732,20,2.1497387653508313
733,17,2.2899858043977286
734,21,2.3503628095199423
735,20,2.4426316188706503
736,19,2.4297406682001044
737,21,2.4613737696818174
738,20,2.274862032057089
739,21,2.465393788160736
740,19,2.077150297860175
741,19,2.0563645266277426
742,21,2.3132031633677075
743,20,2.181301230973866
744,19,2.1909419327696553
745,22,2.4974558955586756
746,22,2.511989972540773
747,20,2.4316959847197586
748,23,2.587657605837076
749,20,2.3585429318032363
750,20,2.3721394666969
751,21,2.473815746123653
752,21,2.4756462473555336
753,20,2.359828694418491
754,21,2.4560127724256593
755,20,2.4626080710321556
756,22,2.5508294158307767
757,23,2.5203411631704817
758,21,2.452813142345571
759,26,2.5090334457539933
760,20,2.3670510918228134
761,20,2.0770517965142807
762,20,2.081808597821231
763,19,2.330018279207578
764,19,2.437134984238136
765,21,2.4007648486727176
766,19,2.1860580322818164
767,20,2.461606711274797
768,24,2.5458925579618286
769,20,2.4194901000875677
770,20,2.3120292405278287
771,20,2.235002879570907
772,20,2.2397596808778575
773,19,2.3272101695087297
774,22,2.4809315316124514
775,22,2.5020210442729716
776,18,2.246030621221588
777,21,2.4861937752314494
778,22,2.442298039757376
779,22,2.4569882156179172
780,25,2.595566394339151
781,25,2.590809593032201
782,21,2.4779835683647162
783,21,2.4671859990643235
784,22,2.5430844408675823
785,20,2.4847561793303243
786,23,2.5169861371001723
787,25,2.46979099182563
788,24,2.6960320619393925
789,20,2.3459587475784938
790,21,2.354329631862823
791,20,2.3430340459065855
792,23,2.4569079337429165
793,23,2.4835335910292176
794,22,2.4778129030669067
795,23,2.4583557514318213
796,22,2.4453672389422905
797,21,2.4048412356435827
798,22,2.5231338247152046
799,23,2.549009701100051
800,21,2.2493917119129856
801,21,2.5274084095886216
802,20,2.372954226654251
803,21,2.315221357876074
804,21,2.429193674100202
805,21,2.4184367303175756
806,23,2.5606836261660075
807,21,2.444400246520357
808,21,2.547169679443668
809,23,2.542617928105593
810,22,2.4964037453870036
811,23,2.504646623468616
812,19,2.318788294853497
813,23,2.3751200545325313
814,21,2.383399866266359
815,22,2.607442975248298
816,21,2.451412069997152
817,23,2.5453439909622677
818,21,2.3796395829623807
819,22,2.447545022339269
820,24,2.5265203501817117
821,26,2.5658343730193844
822,21,2.5332643587913632
823,22,2.5656382193411518
824,22,2.6045653139965967
825,24,2.538863344262127
826,25,2.6072443738612066
827,23,2.5004526785406234
828,22,2.5019798132587967
829,22,2.5019798132587967
830,22,2.489640810309863
831,19,2.3684272607918464
832,21,2.325240867429989
833,21,2.4383830471912353
834,24,2.5849386620272057
835,22,2.501857933278473
836,23,2.491006016312587
837,20,2.3852182853872823
838,24,2.614742196225512
839,24,2.617333210773074
840,24,2.631375662711441
841,23,2.4491287249156977
842,22,2.4440650315737797
843,24,2.521198908770848
844,23,2.5188846041427917
845,19,2.374583057540928
846,22,2.424446689403779
847,22,2.3903106350072707
848,21,2.386406726466234
849,21,2.386406726466234
850,21,2.3882548546042965
851,20,2.3852019058368974
852,20,2.400627559033031
853,21,2.4204182710206075
854,23,2.3753594827961106
855,24,2.410540095602424
856,26,2.7135097296307458
857,28,2.789993021438586
858,20,2.348557320985082
859,19,2.337417296233155
860,22,2.456315231006988
861,23,2.4998698367147236
862,23,2.5528833746274358
863,25,2.5769383431850033
864,22,2.3604504216396642
865,25,2.571314873447393
866,24,2.577723113625845
867,22,2.3412905077965678
868,21,2.3319531565242806
869,22,2.3935569249386344
870,24,2.4357125985278563
871,23,2.4874326288365096
872,21,2.4251918375287684
873,25,2.7095192643335144
874,22,2.444103148615419
875,21,2.3510540078069697
876,23,2.4045025607611428
877,26,2.7941719165345273
878,24,2.58551544393114
879,21,2.3921139726385148
880,26,2.6473563356702656
881,22,2.4451882152045648
882,25,2.573843021044825
883,21,2.4463188652165826
884,27,2.699544504928916
885,27,2.755598173667501
886,25,2.570557395316355
887,28,2.810791931103308
888,27,2.712285867871587
889,24,2.5562716500972105
890,24,2.739826013256171
891,23,2.46231025679623
892,27,2.626517347140653
893,25,2.542930551559349
894,28,2.873371084300066
895,26,2.6935864884732847
896,27,2.7308192680295966
897,27,2.7717490177375135
898,29,2.8675227882738294
899,28,2.8275705179000106
900,25,2.7598439178941283
901,28,2.8097358362644003
902,27,2.7201405748938954
903,28,2.7728166131850993
904,18,1.5780488395810952
905,25,2.739232593859507
906,29,2.8294371437587715
907,23,2.0630119575340586
908,20,1.9548541688587244
909,22,1.9364355351061624
910,21,2.2073995421366734
911,23,2.030571124656846
912,19,1.9784618552730167
913,18,1.7808927020548035
914,21,2.064858276249371
915,20,1.984917221926073
916,21,2.314299758360654
917,18,2.0848421358111078
918,20,1.8944897314140472
919,18,2.0025777947327517
920,20,2.307908675025262
921,19,2.0373632111148225
922,20,1.9559450199803596
923,21,1.8172451743567766
924,21,2.1979385153810034
925,18,1.7244324143027707
926,22,2.2354033504441633
927,22,2.203350492484035
928,18,1.9261505876978116
929,17,1.7641625108208718
930,19,2.210818316369579
931,23,2.5303267135950267
932,22,2.151144230858053
933,19,1.8983124655434265
934,21,2.534313636436845
935,23,2.573881693037398
936,23,2.5495151412417454
937,23,2.5395110607879032
938,22,2.5721273829623157
939,22,2.560601057282828
940,20,1.9325614325058362
941,21,2.25227902436512
942,22,2.085674112472114
943,21,2.0562230548517793
944,23,2.3287704006695678
945,21,1.9983119573386636
946,18,1.864954024471192
947,19,2.1676860028510956
948,18,2.1158715922238462
949,17,1.884305734685822
950,22,2.1736261225030877
951,19,2.1432025858361716
952,20,2.154912302701906
953,21,2.206569883957013
954,21,2.206569883957013
955,21,2.1975679238326222
956,20,2.204349566580221
957,19,2.2342027139776324
958,19,2.226729126738122
959,20,2.4030074071828516
960,19,2.297864605630859
961,23,2.319968333173584
962,23,2.3249452648164626
963,25,2.63150281453961
964,19,2.16867161091778
965,19,2.1774940153323796
966,22,2.6031921387094528
967,22,2.6187211147947034
968,24,2.4090733499445296
969,24,2.3487351479848044
970,22,2.539273788125161
971,20,2.4249019829613188
972,20,2.406011755570126
973,20,2.4749102056985373
974,20,2.135918994214582
975,19,2.168272906390406
976,19,2.0057104108533497
977,19,2.2002556557337885
978,27,2.691289938536272
979,21,1.8385199947135575
